	Scaffold_ID.#ID.on.Haplome.H2.3	pseudomolecule.(Chr1-Chr12).or.unassigned.scaffold	Gene.start.#on haplome.pseudo.molecule.(PM1N)	Gene.end	*Gene.length.#(in.bp UTR.+.CDS.+.introns)	Protein.definition .#Based.on.phytozome.process	"Tandem.duplication.(TDG,.LDG,.SG)"	Relationship.between.the.Diploid.and.Haploid.versions:.(1:1.=.18299.genes).1.copy.in.the.diploid.for.1.copy.in.haploid.version.-.(2:1.=.18817.genes).2.copies.in.the.diploid.for.1.copy.in.the.haploid.version.-.NA.=.6639.genes	hybSeqGeneID
Qrob_T0208700.2	Qrob_H2.3_Sc0000010	Chr3	13402233	13398424	3810	(M=1) KOG0018//KOG0161//KOG0250//KOG0933//KOG0962//KOG0964//KOG0976//KOG0996//KOG1029//KOG2072 - Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin  subunit SMC1) [Cell cycle control  cell division  chromosome partitioning]. // Myosin class II heavy chain [Cytoskeleton]. // DNA repair protein RAD18 (SMC family protein) [Replication  recombination and repair]. // Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin  subunit E) [Chromatin structure and dynamics  Cell cycle control  cell division  chromosome partitioning]. // DNA repair protein RAD50  ABC-type ATPase/SMC superfamily [Replication  recombination and repair]. // Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin  subunit SMC3) [Cell cycle control  cell division  chromosome partitioning]. // Rho/Rac1-interacting serine/threonine kinase Citron [Signal transduction mechanisms]. // Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin  subunit C) [Chromatin structure and dynamics  Cell cycle control  cell division  chromosome partitioning]. // Endocytic adaptor protein intersectin [Signal transduction mechanisms  Intracellular trafficking  secretion  and vesicular transport]. // Translation initiation factor 3  subunit a (eIF-3a) [Translation  ribosomal structure and biogenesis].	SG	NA	T0208700.2
Qrob_T0106940.2	Qrob_H2.3_Sc0000919	Chr12	21511899	21522306	10408	(M=1) KOG1079//KOG1080//KOG1082//KOG1083//KOG1085//KOG4442 - Transcriptional repressor EZH1 [Transcription]. // Histone H3 (Lys4) methyltransferase complex  subunit SET1 and related methyltransferases [Chromatin structure and dynamics  Transcription]. // Histone H3 (Lys9) methyltransferase SUV39H1/Clr4  required for transcriptional silencing [Chromatin structure and dynamics  Transcription]. // Putative transcription factor ASH1/LIN-59 [Transcription]. // Predicted methyltransferase (contains a SET domain) [General function prediction only]. // Clathrin coat binding protein/Huntingtin interacting protein HIP1  involved in regulation of endocytosis [Intracellular trafficking  secretion  and vesicular transport].	SG	NA	T0106940.2
Qrob_T0641260.2	Qrob_H2.3_Sc0000487	Chr6	9005397	8998574	6824	(M=1) PTHR24412:SF142 - BTB/POZ DOMAIN-CONTAINING PROTEIN (PTHR24412:SF142)	SG	2:01	T0641260.2
Qrob_T0035160.2	Qrob_H2.3_Sc0000026	Qrob_H2.3_Sc0000026	2769962	2775428	5467	(M=1) PTHR23238 - RNA BINDING PROTEIN	SG	2:01	T0035160.2
Qrob_T0572060.2	Qrob_H2.3_Sc0000050	Chr8	61087215	61097702	10488	(M=1) PTHR10566:SF44 - ATH SUBFAMILY PROTEIN ATH8 (PTHR10566:SF44)	SG	NA	T0572060.2
Qrob_T0268730.2	Qrob_H2.3_Sc0000208	Chr6	6894267	6907744	13478	(M=1) PTHR22792//PTHR22792:SF45 - LUPUS LA PROTEIN-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0268730.2
Qrob_T0188250.2	Qrob_H2.3_Sc0000998	Qrob_H2.3_Sc0000998	81077	71208	9870	(M=1) KOG0696//KOG1028//KOG1030//KOG2059 - Serine/threonine protein kinase [Signal transduction mechanisms]. // Ca2+-dependent phospholipid-binding protein Synaptotagmin  required for synaptic vesicle and secretory granule exocytosis [Signal transduction mechanisms  Intracellular trafficking  secretion  and vesicular transport]. // Predicted Ca2+-dependent phospholipid-binding protein [General function prediction only]. // Ras GTPase-activating protein [Signal transduction mechanisms].	SG	1:01	T0188250.2
Qrob_T0244160.2	Qrob_H2.3_Sc0000035	Chr1	33436607	33441643	5037	(M=1) PTHR23125//PTHR23125:SF248 - F-BOX/LEUCINE RICH REPEAT PROTEIN // SUBFAMILY NOT NAMED	SG	NA	T0244160.2
Qrob_T0225690.2	Qrob_H2.3_Sc0000557	Chr7	5596959	5601633	4675	(M=1) K14674 - TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]	SG	2:01	T0225690.2
Qrob_T0559860.2	Qrob_H2.3_Sc0000038	Chr1	39214836	39219064	4229	(M=1) PTHR12815//PTHR12815:SF9 - SORTING AND ASSEMBLY MACHINERY (SAM50) PROTEIN // SUBFAMILY NOT NAMED	SG	NA	T0559860.2
Qrob_T0362810.2	Qrob_H2.3_Sc0000122	Chr1	8382045	8377500	4546	(M=1) KOG0119//KOG0307//KOG0566//KOG1984 - Splicing factor 1/branch point binding protein (RRM superfamily) [RNA processing and modification]. // Vesicle coat complex COPII  subunit SEC31 [Intracellular trafficking  secretion  and vesicular transport]. // Inositol-1 4 5-triphosphate 5-phosphatase (synaptojanin)  INP51/INP52/INP53 family [Intracellular trafficking  secretion  and vesicular transport]. // Vesicle coat complex COPII  subunit SFB3 [Intracellular trafficking  secretion  and vesicular transport].	SG	2:01	T0362810.2
Qrob_T0259550.2	Qrob_H2.3_Sc0000126	Chr4	21182740	21195029	12290	(M=1) K14827 - pre-rRNA-processing protein IPI1	SG	2:01	T0259550.2
Qrob_T0437060.2	Qrob_H2.3_Sc0000432	Chr11	6288449	6303779	15331	"(M=1) PTHR12482:SF5 - PROTEIN C09D4.4, ISOFORM C (PTHR12482:SF5)"	SG	NA	T0437060.2
Qrob_T0434080.2	Qrob_H2.3_Sc0000024	Qrob_H2.3_Sc0000024	284392	278276	6117	(M=1) K11672 - actin-related protein 5	SG	2:01	T0434080.2
Qrob_T0500260.2	Qrob_H2.3_Sc0000244	Chr3	34837314	34833485	3830	"(M=1) PTHR15725 - ZN-FINGER, C-X8-C-X5-C-X3-H TYPE-CONTAINING"	SG	2:01	T0500260.2
Qrob_T0361130.2	Qrob_H2.3_Sc0000450	Chr10	24875658	24863867	11792	(M=1) PTHR10774//PTHR10774:SF45 - EXTENDED SYNAPTOTAGMIN-RELATED // SUBFAMILY NOT NAMED	SG	1:01	T0361130.2
Qrob_T0124060.2	Qrob_H2.3_Sc0000112	Chr9	24296428	24286554	9875	(M=1) K03350 - anaphase-promoting complex subunit 3	SG	NA	T0124060.2
Qrob_T0698870.2	Qrob_H2.3_Sc0000137	Chr3	46762944	46759577	3368	(M=1) KOG0018//KOG0161//KOG0612//KOG0933//KOG2072//KOG4265 - Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin  subunit SMC1) [Cell cycle control  cell division  chromosome partitioning]. // Myosin class II heavy chain [Cytoskeleton]. // Rho-associated  coiled-coil containing protein kinase [Signal transduction mechanisms]. // Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin  subunit E) [Chromatin structure and dynamics  Cell cycle control  cell division  chromosome partitioning]. // Translation initiation factor 3  subunit a (eIF-3a) [Translation  ribosomal structure and biogenesis]. // Predicted E3 ubiquitin ligase [Posttranslational modification  protein turnover  chaperones].	SG	2:01	T0698870.2
Qrob_T0659760.2	Qrob_H2.3_Sc0000213	Chr11	26980027	26987121	7095	(M=1) KOG1222 - Kinesin associated protein KAP [Intracellular trafficking  secretion  and vesicular transport].	SG	2:01	T0659760.2
Qrob_T0541480.2	Qrob_H2.3_Sc0000023	Chr12	9116794	9121297	4504	(M=1) PTHR23115:SF13 - TRANSLATION ELONGATION FACTOR G	SG	2:01	T0541480.2
Qrob_T0326720.2	Qrob_H2.3_Sc0000383	Chr2	413586	406554	7033	(M=1) KOG0307//KOG1676//KOG1984//KOG2044//KOG2190//KOG2191//KOG2193 - Vesicle coat complex COPII  subunit SEC31 [Intracellular trafficking  secretion  and vesicular transport]. // K-homology type RNA binding proteins [RNA processing and modification]. // Vesicle coat complex COPII  subunit SFB3 [Intracellular trafficking  secretion  and vesicular transport]. // 5'-3' exonuclease HKE1/RAT1 [Replication  recombination and repair  RNA processing and modification]. // PolyC-binding proteins alphaCP-1 and related KH domain proteins [RNA processing and modification  General function prediction only]. // RNA-binding protein NOVA1/PASILLA and related KH domain proteins [RNA processing and modification  General function prediction only]. // IGF-II mRNA-binding protein IMP  contains RRM and KH domains [RNA processing and modification  General function prediction only].	SG	2:01	T0326720.2
Qrob_T0583940.2	Qrob_H2.3_Sc0000546	Chr2	35966360	35975962	9603	(M=1) PTHR10555:SF122 - SORTING NEXIN 1 (PTHR10555:SF122)	SG	2:01	T0583940.2
Qrob_T0009910.2	Qrob_H2.3_Sc0000013	Chr2	59414566	59417575	3010	"(M=1) PTHR31846:SF8 - CRS2-ASSOCIATED FACTOR 1, CHLOROPLASTIC (PTHR31846:SF8)"	SG	2:01	T0009910.2
Qrob_T0507370.2	Qrob_H2.3_Sc0000562	Qrob_H2.3_Sc0000562	104769	109043	4275	"(M=1) PF03385 - Protein of unknown function, DUF288"	SG	NA	T0507370.2
Qrob_T0200550.2	Qrob_H2.3_Sc0000170	Chr6	35305406	35308953	3548	(M=1) KOG0444//KOG0472//KOG0531//KOG0532//KOG0617//KOG0618//KOG1187//KOG1909//KOG4194//KOG4658 - Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats) [Cytoskeleton]. // Leucine-rich repeat protein [Function unknown]. // Protein phosphatase 1  regulatory subunit  and related proteins [Signal transduction mechanisms]. // Leucine-rich repeat (LRR) protein  contains calponin homology domain [Cytoskeleton]. // Ras suppressor protein (contains leucine-rich repeats) [Signal transduction mechanisms]. // Serine/threonine phosphatase 2C containing leucine-rich repeats  similar to SCN circadian oscillatory protein (SCOP) [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Ran GTPase-activating protein [RNA processing and modification  Nuclear structure  Signal transduction mechanisms]. // Membrane glycoprotein LIG-1 [Signal transduction mechanisms]. // Apoptotic ATPase [Signal transduction mechanisms].	SG	1:01	T0200550.2
Qrob_T0205230.2	Qrob_H2.3_Sc0000066	Chr2	22893783	22887165	6619	(M=1) KOG4276 - Predicted hormone receptor interactor [General function prediction only].	SG	2:01	T0205230.2
Qrob_T0013360.2	Qrob_H2.3_Sc0000029	Chr5	22182498	22176179	6320	(M=1) KOG0483//KOG0484//KOG0485//KOG0487//KOG0488//KOG0493//KOG0494//KOG0842//KOG0843//KOG4577 - Transcription factor HEX  contains HOX and HALZ domains [Transcription]. // Transcription factor PHOX2/ARIX  contains HOX domain [Transcription]. // Transcription factor NKX-5.1/HMX1  contains HOX domain [Transcription]. // Transcription factor Abd-B  contains HOX domain [Transcription]. // Transcription factor BarH and related HOX domain proteins [General function prediction only]. // Transcription factor Engrailed  contains HOX domain [General function prediction only]. // Transcription factor CHX10 and related HOX domain proteins [General function prediction only]. // Transcription factor tinman/NKX2-3  contains HOX domain [Transcription]. // Transcription factor EMX1 and related HOX domain proteins [Transcription]. // Transcription factor LIM3  contains LIM and HOX domains [Transcription].	SG	NA	T0013360.2
Qrob_T0145250.2	Qrob_H2.3_Sc0000086	Chr7	3541211	3543758	2548	(M=1) KOG0119//KOG0122//KOG0124//KOG0144//KOG0145//KOG0148//KOG0149//KOG0307//KOG1588//KOG1984 - Splicing factor 1/branch point binding protein (RRM superfamily) [RNA processing and modification]. // Translation initiation factor 3  subunit g (eIF-3g) [Translation  ribosomal structure and biogenesis]. // Polypyrimidine tract-binding protein PUF60 (RRM superfamily) [RNA processing and modification]. // RNA-binding protein CUGBP1/BRUNO (RRM superfamily) [RNA processing and modification]. // RNA-binding protein ELAV/HU (RRM superfamily) [RNA processing and modification]. // Apoptosis-promoting RNA-binding protein TIA-1/TIAR (RRM superfamily) [RNA processing and modification  Translation  ribosomal structure and biogenesis]. // Predicted RNA-binding protein SEB4 (RRM superfamily) [General function prediction only]. // Vesicle coat complex COPII  subunit SEC31 [Intracellular trafficking  secretion  and vesicular transport]. // RNA-binding protein Sam68 and related KH domain proteins [RNA processing and modification]. // Vesicle coat complex COPII  subunit SFB3 [Intracellular trafficking  secretion  and vesicular transport].	SG	NA	T0145250.2
Qrob_T0107110.2	Qrob_H2.3_Sc0000106	Chr12	16339651	16348958	9308	(M=1) KOG2346 - Uncharacterized conserved protein [Function unknown].	SG	NA	T0107110.2
Qrob_T0346100.2	Qrob_H2.3_Sc0000011	Chr6	52780318	52784694	4377	(M=1) K12875 - apoptotic chromatin condensation inducer in the nucleus	SG	2:01	T0346100.2
Qrob_T0189540.2	Qrob_H2.3_Sc0000045	Chr10	38586603	38595085	8483	(M=1) K02327 - DNA polymerase delta subunit 1 [EC:2.7.7.7]	SG	1:01	T0189540.2
Qrob_T0600570.2	Qrob_H2.3_Sc0000067	Chr3	28637597	28626408	11190	(M=1) K15305 - vacuole morphology and inheritance protein 14	SG	2:01	T0600570.2
Qrob_T0612010.2	Qrob_H2.3_Sc0000579	Qrob_H2.3_Sc0000579	377524	368128	9397	"(M=1) PTHR10338 - VON WILLEBRAND FACTOR, TYPE A DOMAIN CONTAINING"	SG	2:01	T0612010.2
Qrob_T0277850.2	Qrob_H2.3_Sc0000086	Chr7	1897661	1884811	12851	"(M=1) PTHR16254:SF6 - K(+) EFFLUX ANTIPORTER 3, CHLOROPLASTIC (PTHR16254:SF6)"	SG	2:01	T0277850.2
Qrob_T0633270.2	Qrob_H2.3_Sc0000220	Chr12	39369782	39377112	7331	(M=1) K14304 - nuclear pore complex protein Nup85	SG	2:01	T0633270.2
Qrob_T0713850.2	Qrob_H2.3_Sc0000828	Chr2	99266859	99271377	4519	(M=1) K11366 - ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.1.2.15]	SG	2:01	T0713850.2
Qrob_T0468410.2	Qrob_H2.3_Sc0000810	Qrob_H2.3_Sc0000810	51565	61984	10420	(M=1) PF00560//PF12819 - Leucine Rich Repeat // Carbohydrate-binding protein of the ER	SG	2:01	T0468410.2
Qrob_T0609910.2	Qrob_H2.3_Sc0000083	Chr2	46979816	46976341	3476	(M=1) PTHR24198//PTHR24198:SF9 - ANKYRIN REPEAT AND PROTEIN KINASE DOMAIN-CONTAINING PROTEIN // SUBFAMILY NOT NAMED	SG	1:01	T0609910.2
Qrob_T0674880.2	Qrob_H2.3_Sc0000706	Chr9	9854124	9848708	5417	(M=1) 3.4.14.5 - Dipeptidyl-peptidase IV.	SG	NA	T0674880.2
Qrob_T0478260.2	Qrob_H2.3_Sc0000494	Chr5	23277062	23282257	5196	(M=1) K14050 - geranylgeranyl transferase type-2 subunit alpha [EC:2.5.1.60]	SG	2:01	T0478260.2
Qrob_T0079140.2	Qrob_H2.3_Sc0000020	Chr4	29333733	29340496	6764	(M=1) PTHR10996//PTHR10996:SF109 - 2-HYDROXYACID DEHYDROGENASE-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0079140.2
Qrob_T0497670.2	Qrob_H2.3_Sc0000637	Chr8	55844605	55848292	3688	(M=1) KOG0192//KOG0194//KOG0197//KOG0198//KOG0595//KOG1025//KOG1026//KOG1095//KOG1187//KOG4257 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // MEKK and related serine/threonine protein kinases [Signal transduction mechanisms]. // Serine/threonine-protein kinase involved in autophagy [Posttranslational modification  protein turnover  chaperones  Intracellular trafficking  secretion  and vesicular transport  Signal transduction mechanisms]. // Epidermal growth factor receptor EGFR and related tyrosine kinases [Signal transduction mechanisms]. // Nerve growth factor receptor TRKA and related tyrosine kinases [Signal transduction mechanisms  Intracellular trafficking  secretion  and vesicular transport]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Focal adhesion tyrosine kinase FAK  contains FERM domain [Signal transduction mechanisms].	SG	2:01	T0497670.2
Qrob_T0656370.2	Qrob_H2.3_Sc0000439	Chr1	16979319	16991819	12501	(M=1) K10747 - DNA ligase 1 [EC:6.5.1.1]	SG	2:01	T0656370.2
Qrob_T0310620.2	Qrob_H2.3_Sc0000121	Chr5	69477223	69489752	12530	(M=1) PF12576 - Protein of unknown function (DUF3754)	SG	1:01	T0310620.2
Qrob_T0001520.2	Qrob_H2.3_Sc0000000	Chr1	25134393	25151517	17125	(M=1) K12882 - nuclear cap-binding protein subunit 1	SG	1:01	T0001520.2
Qrob_T0036680.2	Qrob_H2.3_Sc0000661	Chr2	16558189	16567324	9136	(M=1) K02154 - V-type H+-transporting ATPase subunit I [EC:3.6.3.14]	SG	NA	T0036680.2
Qrob_T0472310.2	Qrob_H2.3_Sc0000037	Chr11	51891062	51885003	6060	(M=1) PTHR11689//PTHR11689:SF75 - CHLORIDE CHANNEL // SUBFAMILY NOT NAMED	SG	2:01	T0472310.2
Qrob_T0697550.2	Qrob_H2.3_Sc0000729	Chr1	3669537	3661148	8390	(M=1) PTHR19241//PTHR19241:SF188 - ATP-BINDING CASSETTE TRANSPORTER // SUBFAMILY NOT NAMED	SG	NA	T0697550.2
Qrob_T0245370.2	Qrob_H2.3_Sc0000027	Chr2	96430706	96418106	12601	"(M=1) PTHR22957:SF34 - TBC1 DOMAIN FAMILY MEMBER 15, 17"	SG	2:01	T0245370.2
Qrob_T0495840.2	Qrob_H2.3_Sc0000500	Qrob_H2.3_Sc0000500	160420	157999	2422	(M=1) PTHR23125//PTHR23125:SF241 - F-BOX/LEUCINE RICH REPEAT PROTEIN // SUBFAMILY NOT NAMED	SG	2:01	T0495840.2
Qrob_T0103080.2	Qrob_H2.3_Sc0000162	Chr3	36293255	36286291	6965	(M=1) PTHR10774//PTHR10774:SF43 - EXTENDED SYNAPTOTAGMIN-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0103080.2
Qrob_T0676330.2	Qrob_H2.3_Sc0000761	Chr2	21392094	21401555	9462	(M=1) K13181 - ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]	SG	2:01	T0676330.2
Qrob_T0713880.2	Qrob_H2.3_Sc0000828	Chr2	99338917	99342303	3387	"(M=1) PTHR10903:SF47 - TRANSLOCASE OF CHLOROPLAST 120, CHLOROPLASTIC-RELATED (PTHR10903:SF47)"	SG	2:01	T0713880.2
Qrob_T0464560.2	Qrob_H2.3_Sc0000446	Chr9	20618097	20611821	6277	(M=1) PTHR10992:SF754 - DNA PHOTOLYASE (PTHR10992:SF754)	SG	2:01	T0464560.2
Qrob_T0081920.2	Qrob_H2.3_Sc0000134	Chr8	69306796	69300437	6360	"(M=1) PTHR23270:SF7 - NUCLEIC ACID-BINDING, OB-FOLD-LIKE PROTEIN (PTHR23270:SF7)"	SG	2:01	T0081920.2
Qrob_T0011500.2	Qrob_H2.3_Sc0000005	Chr11	35090104	35075090	15015	(M=1) K14018 - phospholipase A-2-activating protein	SG	NA	T0011500.2
Qrob_T0676890.2	Qrob_H2.3_Sc0000022	Chr2	111325804	111333053	7250	(M=1) K14416 - elongation factor 1 alpha-like protein	SG	NA	T0676890.2
Qrob_T0468470.2	Qrob_H2.3_Sc0000453	Chr8	23459846	23469760	9915	"(M=1) K15377 - solute carrier family 44 (choline transporter-like protein), member 2/4/5"	SG	1:01	T0468470.2
Qrob_T0186120.2	Qrob_H2.3_Sc0000168	Chr9	31216330	31199659	16672	(M=1) PTHR12802:SF41 - BRAHMA ASSOCIATED PROTEIN 155 KDA (PTHR12802:SF41)	SG	NA	T0186120.2
Qrob_T0173110.2	Qrob_H2.3_Sc0000022	Chr2	110085584	110093677	8094	(M=1) K17087 - transmembrane 9 superfamily member 3	SG	2:01	T0173110.2
Qrob_T0304590.2	Qrob_H2.3_Sc0000158	Chr2	26829736	26822951	6786	(M=1) PTHR15439//PTHR15439:SF0 - RETINOBLASTOMA-BINDING PROTEIN 6 // SUBFAMILY NOT NAMED	SG	2:01	T0304590.2
Qrob_T0628690.2	Qrob_H2.3_Sc0000616	Chr2	113092370	113084921	7450	(M=1) K14824 - ribosome biogenesis protein ERB1	SG	2:01	T0628690.2
Qrob_T0151270.2	Qrob_H2.3_Sc0000335	Chr10	6137391	6145750	8360	(M=1) KOG2433 - Uncharacterized conserved protein [Function unknown].	SG	2:01	T0151270.2
Qrob_T0713110.2	Qrob_H2.3_Sc0000053	Chr6	10776556	10770190	6367	(M=1) PTHR21493//PTHR21493:SF2 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // SUBFAMILY NOT NAMED	SG	2:01	T0713110.2
Qrob_T0656180.2	Qrob_H2.3_Sc0000265	Chr10	35775321	35767604	7718	(M=1) K00820 - glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	SG	NA	T0656180.2
Qrob_T0200540.2	Qrob_H2.3_Sc0000170	Chr6	35267127	35279248	12122	(M=1) PTHR10566:SF50 - PROTEIN LACT-3 (PTHR10566:SF50)	SG	NA	T0200540.2
Qrob_T0054480.2	Qrob_H2.3_Sc0000010	Chr3	14361339	14350696	10644	(M=1) K15361 - WD repeat-containing protein 48	SG	2:01	T0054480.2
Qrob_T0043060.2	Qrob_H2.3_Sc0000018	Chr4	1491723	1488345	3379	(M=1) K08853 - AP2-associated kinase [EC:2.7.11.1]	SG	2:01	T0043060.2
Qrob_T0332960.2	Qrob_H2.3_Sc0000307	Chr7	17185217	17177995	7223	(M=1) K11266 - MAternally affected uncoordination	SG	2:01	T0332960.2
Qrob_T0497790.2	Qrob_H2.3_Sc0000637	Chr8	55979261	55985725	6465	(M=1) K14826 - FK506-binding nuclear protein [EC:5.2.1.8]	SG	2:01	T0497790.2
Qrob_T0332850.2	Qrob_H2.3_Sc0000307	Chr7	17499698	17492583	7116	(M=1) KOG0192//KOG0193//KOG0194//KOG0197//KOG0198//KOG0200//KOG0595//KOG1094//KOG1095//KOG1187 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Serine/threonine protein kinase RAF [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // MEKK and related serine/threonine protein kinases [Signal transduction mechanisms]. // Fibroblast/platelet-derived growth factor receptor and related receptor tyrosine kinases [Signal transduction mechanisms]. // Serine/threonine-protein kinase involved in autophagy [Posttranslational modification  protein turnover  chaperones  Intracellular trafficking  secretion  and vesicular transport  Signal transduction mechanisms]. // Discoidin domain receptor DDR1 [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms].	SG	NA	T0332850.2
Qrob_T0413110.2	Qrob_H2.3_Sc0000290	Chr12	34722453	34717757	4697	(M=5) PTHR11453 - ANION EXCHANGE PROTEIN	LDG	2:01	T0413110.2
Qrob_T0425450.2	Qrob_H2.3_Sc0000508	Qrob_H2.3_Sc0000508	225726	222201	3526	NA	SG	2:01	T0425450.2
Qrob_T0517960.2	Qrob_H2.3_Sc0000348	Chr5	42495523	42499968	4446	(M=2) PTHR10217//PTHR10217:SF457 - VOLTAGE AND LIGAND GATED POTASSIUM CHANNEL // SUBFAMILY NOT NAMED	LDG	2:01	T0517960.2
Qrob_T0112320.2	Qrob_H2.3_Sc0000039	Chr12	2995157	2998453	3297	(M=3) PTHR19241//PTHR19241:SF195 - ATP-BINDING CASSETTE TRANSPORTER // SUBFAMILY NOT NAMED	LDG	2:01	T0112320.2
Qrob_T0657660.2	Qrob_H2.3_Sc0000670	Chr8	31671356	31674309	2954	NA	SG	2:01	T0657660.2
Qrob_T0279560.2	Qrob_H2.3_Sc0000081	Chr6	1645767	1632540	13228	(M=10) 1.4.3.21 - Primary-amine oxidase.	LDG	NA	T0279560.2
Qrob_T0583840.2	Qrob_H2.3_Sc0000546	Chr2	35811880	35815982	4103	(M=4) PTHR11062//PTHR11062:SF43 - EXOSTOSIN (HEPARAN SULFATE GLYCOSYLTRANSFERASE)-RELATED // SUBFAMILY NOT NAMED (PTHR11062:SF43)	TDG	2:01	T0583840.2
Qrob_T0432820.2	Qrob_H2.3_Sc0000016	Chr2	10238765	10236865	1901	(M=17) 2.4.1.115 - Anthocyanidin 3-O-glucosyltransferase.	TDG	2:01	T0432820.2
Qrob_T0571140.2	Qrob_H2.3_Sc0000027	Chr2	98545038	98536616	8423	(M=8) K14431 - transcription factor TGA	LDG	2:01	T0571140.2
Qrob_T0332950.2	Qrob_H2.3_Sc0000307	Chr7	17199620	17195071	4550	(M=8) K14431 - transcription factor TGA	LDG	2:01	T0332950.2
Qrob_T0017140.2	Qrob_H2.3_Sc0000080	Chr8	57549261	57546354	2908	(M=11) KOG1175//KOG1176//KOG1177//KOG1179//KOG1180//KOG1256 - Acyl-CoA synthetase [Lipid transport and metabolism]. // Acyl-CoA synthetase [Lipid transport and metabolism]. // Long chain fatty acid acyl-CoA ligase [Lipid transport and metabolism]. // Very long-chain acyl-CoA synthetase/fatty acid transporter [Lipid transport and metabolism]. // Acyl-CoA synthetase [Lipid transport and metabolism]. // Long-chain acyl-CoA synthetases (AMP-forming) [Lipid transport and metabolism].	TDG	2:01	T0017140.2
Qrob_T0090110.2	Qrob_H2.3_Sc0000101	Chr7	41165447	41168765	3319	(M=15) PTHR10766:SF14 - TRANSMEMBRANE 9 SUPERFAMILY PROTEIN MEMBER 1	TDG	NA	T0090110.2
Qrob_T0625210.2	Qrob_H2.3_Sc0000686	Chr5	14531803	14527377	4427	(M=8) K13126 - polyadenylate-binding protein	SG	2:01	T0625210.2
Qrob_T0074210.2	Qrob_H2.3_Sc0000378	Chr5	52857243	52858979	1737	NA	SG	NA	T0074210.2
Qrob_T0437630.2	Qrob_H2.3_Sc0000334	Chr8	51099744	51102880	3137	(M=3) PTHR11709//PTHR11709:SF22 - MULTI-COPPER OXIDASE // SUBFAMILY NOT NAMED	LDG	2:01	T0437630.2
Qrob_T0295690.2	Qrob_H2.3_Sc0000839	Chr1	14289607	14294049	4443	(M=50) K05909 - adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9]	TDG	2:01	T0295690.2
Qrob_T0202290.2	Qrob_H2.3_Sc0000176	Chr3	54738604	54740302	1699	(M=1) PTHR12197//PTHR12197:SF136 - SET AND MYND DOMAIN CONTAINING // SUBFAMILY NOT NAMED	SG	1:01	T0202290.2
Qrob_T0766030.2	Qrob_H2.3_Sc0001162	Chr3	42240794	42237383	3412	(M=1) PTHR24096:SF116 - 4-COUMARATE--COA LIGASE-LIKE 1 (PTHR24096:SF116)	LDG	2:01	T0766030.2
Qrob_T0200590.2	Qrob_H2.3_Sc0000170	Chr6	35350669	35348610	2060	"(M=10) 1.14.13.109 - Abieta-7,13-dien-18-ol hydroxylase."	TDG	NA	T0200590.2
Qrob_T0523490.2	Qrob_H2.3_Sc0000464	Chr5	23770908	23767593	3316	(M=1) PTHR32370:SF16 - NON-PHOTOTROPIC HYPOCOTYL-LIKE PROTEIN (PTHR32370:SF16)	SG	2:01	T0523490.2
Qrob_T0439920.2	Qrob_H2.3_Sc0000398	Chr12	28104438	28106120	1683	(M=20) K09286 - EREBP-like factor	LDG	2:01	T0439920.2
Qrob_T0316630.2	Qrob_H2.3_Sc0000328	Chr10	30814877	30816463	1587	(M=27) 1.3.3.8 - Tetrahydroberberine oxidase.	TDG	2:01	T0316630.2
Qrob_T0122500.2	Qrob_H2.3_Sc0000234	Qrob_H2.3_Sc0000234	176552	171484	5069	(M=3) PTHR10641:SF475 - MYB TRANSCRIPTION FACTOR-RELATED (PTHR10641:SF475)	LDG	2:01	T0122500.2
